t,phi,theta,psi
22.381,-0.298898,-0.182113,-2.51705
22.451,-0.299117,-0.182192,-2.51304
22.521,-0.299356,-0.182411,-2.51304
22.591,-0.299608,-0.186554,-2.51302
22.661,-0.299816,-0.182774,-2.51705
22.731,-0.300028,-0.18691,-2.51703
22.802,-0.308263,-0.159053,-2.51718
22.872,-0.324538,-0.0749762,-2.51363
22.942,-0.356824,0.0972812,-2.51465
23.012,-0.400894,0.34619,-2.45212
23.082,-0.416485,0.487083,-2.36087
23.152,-0.420545,0.479029,-2.34076
23.222,-0.43246,0.531365,-2.30104
23.293,-0.556014,0.956966,-2.22845
23.363,-0.928194,1.96225,-2.34145
23.433,-1.15926,3.2566,-2.84261
23.503,-1.84592,6.06114,-3.15615
23.573,-3.40157,9.25109,-2.62716
23.643,-4.89094,15.5678,-1.57441
23.714,-4.69246,23.9997,-0.478707
23.784,-1.99709,32.6997,0.358741
23.854,1.85272,40.5829,0.999331
23.924,4.40634,49.3682,0.721951
23.994,6.36448,56.3906,1.81619
24.064,8.50961,63.0719,3.82917
24.135,11.8678,68.7598,6.64918
24.205,13.8992,71.5784,7.94397
24.275,12.1788,71.9098,5.76112
24.345,8.76481,69.9208,2.54342
24.415,6.4551,64.7215,0.355694
24.485,4.22765,57.5886,-1.58558
24.556,3.32934,49.5383,-2.33561
24.626,3.43899,40.8233,-4.1609
24.696,3.63443,31.0629,-6.82819
24.766,2.38021,20.7611,-8.39398
24.836,0.0584999,11.4131,-9.07674
24.906,-0.0458026,4.93628,-8.77813
24.976,-0.342016,-0.155774,-8.14411
25.047,-0.475819,-0.253696,-7.81855
25.117,-0.524291,-0.430414,-7.79295
25.187,-0.552766,-0.578826,-7.78755
25.257,-0.606746,-2.17882,-7.71126
25.327,-1.0598,-6.11842,-8.30261
25.397,-1.24277,-12.2059,-8.6019
25.468,-1.32111,-20.928,-8.59566
25.538,-0.361037,-30.4117,-8.49075
25.608,0.545228,-39.3448,-8.67935
25.678,0.891344,-43.9543,-6.3483
25.748,3.50465,-48.5298,-7.59127
25.818,4.58384,-51.7417,-7.471
25.889,3.20944,-55.4051,-7.34413
25.959,2.67135,-55.8577,-7.11547
26.029,2.35131,-54.531,-6.52664
26.099,1.9535,-50.5294,-6.66704
26.169,0.935864,-45.556,-6.36342
26.239,-0.496387,-38.061,-6.13894
26.309,-2.26655,-30.5698,-5.40835
26.38,-2.6529,-23.7555,-4.67724
26.45,-2.46103,-16.0756,-2.93104
26.52,-2.15176,-8.59244,-1.21873
26.59,-1.60961,-3.20814,-0.709117
26.66,-0.819131,0.413635,-0.724202
26.73,-0.698349,0.0226622,-0.558541
26.801,-0.606409,-0.189271,-0.495948
26.871,-0.602667,-0.197476,-0.499874
26.941,-0.602874,-0.185623,-0.508021
27.011,-0.619103,-0.0974302,-0.50495
27.081,-0.599322,-0.173722,-0.504139
27.151,-0.599562,-0.177861,-0.504097
27.222,-0.599771,-0.182006,-0.508065
27.292,-0.599994,-0.182103,-0.508065
27.362,-0.600229,-0.182145,-0.504055
27.432,-0.600494,-0.182264,-0.504055
27.502,-0.600707,-0.182358,-0.504055
27.572,-0.600931,-0.182454,-0.504055
27.643,-0.601164,-0.182551,-0.504055
27.713,-0.601376,-0.182687,-0.508065
27.783,-0.60161,-0.1788,-0.508107
27.853,-0.601846,-0.166863,-0.508234
27.923,-0.622126,-0.0827288,-0.509132
27.993,-0.65033,0.097733,-0.463006
28.063,-0.852044,0.488533,-0.644546
28.134,-1.43679,0.367171,-2.60783
28.204,-2.55825,-0.600748,-7.4828
28.274,-2.62974,-2.12829,-15.674
28.344,-0.479254,-2.39992,-26.6602
28.414,0.904147,-2.30048,-40.0348
28.484,2.79764,-1.71507,-50.9296
28.555,2.07827,-0.0875972,-58.7685
28.625,2.44525,1.2171,-64.1601
28.695,3.46069,2.03783,-66.4243
28.765,3.49861,2.32571,-66.9215
28.835,2.62264,1.68254,-66.3978
28.905,2.28036,1.51445,-65.2966
28.976,1.71674,1.05307,-64.0283
29.046,1.15057,-0.0901517,-61.4254
29.116,0.479828,-0.796366,-55.8162
29.186,-0.244927,-0.858692,-49.2862
29.256,0.245155,1.15509,-42.0161
29.326,-0.261772,1.20616,-36.2395
29.396,0.0864221,1.43443,-31.6946
29.467,0.0601816,1.17389,-28.646
29.537,0.435081,0.413919,-24.3491
29.607,0.462811,0.534432,-19.8679
29.677,1.31077,0.389414,-13.8772
29.747,2.88966,-0.0466149,-7.68033
29.817,5.50512,0.750202,-0.780802
29.888,5.40381,1.57137,4.71359
29.958,4.2472,1.35935,10.7796
30.028,2.07802,0.357909,17.0418
30.098,0.775158,0.000434191,21.4336
30.168,0.512206,1.27765,24.7614
30.238,1.02109,2.63886,27.5882
30.309,1.49113,2.97463,29.6317
30.379,1.67598,1.97006,29.3149
30.449,2.08744,1.55483,26.0855
30.519,2.53065,2.29225,19.7817
30.589,3.07053,3.43174,12.0097
